#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	refseq_category	taxid	organism_name	ftp_path
GCF_009877435.1	representative genome	2699	Heliomicrobium gestii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/877/435/GCF_009877435.1_ASM987743v1
GCF_002861965.1	representative genome	2702	Gardnerella vaginalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/861/965/GCF_002861965.1_ASM286196v1
GCF_900637305.1	representative genome	2718	Cardiobacterium hominis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/305/GCF_900637305.1_50618_F02
GCF_020628455.1	representative genome	2738	Vagococcus fluvialis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/628/455/GCF_020628455.1_ASM2062845v1
GCF_003987495.1	representative genome	2739	Vagococcus salmoninarum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/987/495/GCF_003987495.1_ASM398749v1
GCF_900101835.1	representative genome	2741	Peptococcus niger	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/835/GCF_900101835.1_IMG-taxon_2634166305_annotated_assembly
GCF_001703555.1	representative genome	2748	Carnobacterium divergens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/555/GCF_001703555.1_ASM170355v1
GCF_004564725.1	representative genome	2751	Carnobacterium maltaromaticum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/564/725/GCF_004564725.1_ASM456472v1
GCF_000712295.1	representative genome	2754	Synergistes jonesii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/295/GCF_000712295.1_sjonesii4.0
GCF_001703515.1	representative genome	2756	Brochothrix thermosphacta	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/515/GCF_001703515.1_ASM170351v1
GCF_023913775.1	representative genome	12917	Acidovorax facilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/913/775/GCF_023913775.1_ASM2391377v1
GCF_000317615.1	representative genome	13035	Dactylococcopsis salina PCC 8305	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/615/GCF_000317615.1_ASM31761v1
GCF_003350205.1	representative genome	13160	Brevundimonas bullata	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/350/205/GCF_003350205.1_ASM335020v1
GCF_006716265.1	representative genome	13243	Rarobacter faecitabidus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/716/265/GCF_006716265.1_ASM671626v1
GCF_900460215.1	representative genome	13276	Suttonella indologenes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/215/GCF_900460215.1_45137_G01
GCF_002346025.1	representative genome	13373	Burkholderia mallei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/346/025/GCF_002346025.1_ASM234602v1
GCF_014200045.1	representative genome	13656	Rhizorhapis suberifaciens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/200/045/GCF_014200045.1_ASM1420004v1
GCF_016027095.1	representative genome	13689	Sphingomonas paucimobilis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/027/095/GCF_016027095.1_ASM1602709v1
GCF_002504085.1	representative genome	13690	Sphingobium yanoikuyae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/504/085/GCF_002504085.1_ASM250408v1
GCF_016583575.1	representative genome	13725	Thiocystis violacea	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/583/575/GCF_016583575.1_ASM1658357v1
GCF_020541885.1	representative genome	28026	Bifidobacterium pseudocatenulatum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/541/885/GCF_020541885.1_ASM2054188v1
GCF_001941465.1	representative genome	28028	Corynebacterium flavescens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/465/GCF_001941465.1_ASM194146v1
GCF_000724775.3	representative genome	28031	Lysinibacillus fusiformis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/775/GCF_000724775.3_ASM72477v3
GCF_001558775.1	representative genome	28035	Staphylococcus lugdunensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/775/GCF_001558775.1_ASM155877v1
GCF_000960005.1	representative genome	28037	Streptococcus mitis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/960/005/GCF_000960005.1_ASM96000v1
GCF_024701915.1	representative genome	28039	Lactobacillus leichmannii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/701/915/GCF_024701915.1_ASM2470191v1
GCF_000710755.1	representative genome	28042	Saccharopolyspora rectivirgula	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/755/GCF_000710755.1_ASM71075v1
GCF_014649775.1	representative genome	28044	Streptomyces longisporoflavus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/649/775/GCF_014649775.1_ASM1464977v1
GCF_002742165.1	representative genome	28045	Mycobacterium celatum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/165/GCF_002742165.1_ASM274216v1
GCF_010729895.1	representative genome	28047	Mycolicibacterium confluentis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/895/GCF_010729895.1_ASM1072989v1
GCF_900103815.1	representative genome	28052	Lachnospira pectinoschiza	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/815/GCF_900103815.1_IMG-taxon_2657245269_annotated_assembly
GCF_009720735.1	representative genome	28064	Heliobacterium mobile	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/720/735/GCF_009720735.1_ASM972073v1
GCF_002017865.1	representative genome	28066	Rhodoferax fermentans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/017/865/GCF_002017865.1_ASM201786v1
GCF_004340905.1	representative genome	28068	Rubrivivax gelatinosus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/340/905/GCF_004340905.1_ASM434090v1
GCF_916098265.1	representative genome	28080	Campylobacter upsaliensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/916/098/265/GCF_916098265.1_Cu-17-M197059
GCF_003176875.1	representative genome	28082	Legionella anisa	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/176/875/GCF_003176875.1_ASM317687v1
GCF_900452515.1	representative genome	28083	Legionella birminghamensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/452/515/GCF_900452515.1_51184_B02
GCF_900452415.1	representative genome	28085	Legionella cincinnatiensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/452/415/GCF_900452415.1_51485_D01
GCF_002848365.2	representative genome	28087	Legionella sainthelensi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/848/365/GCF_002848365.2_ASM284836v2
GCF_900452925.1	representative genome	28088	Legionella wadsworthii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/452/925/GCF_900452925.1_42650_E02
GCF_019343495.1	representative genome	28090	Acinetobacter lwoffii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/343/495/GCF_019343495.1_ASM1934349v1
GCF_900638685.1	representative genome	28091	Neisseria weaveri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/685/GCF_900638685.1_58882_C02
GCF_902833845.1	representative genome	28092	Robbsia andropogonis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/833/845/GCF_902833845.1_ASM90283384v1
GCF_007097545.1	representative genome	28094	Trinickia caryophylli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/097/545/GCF_007097545.1_ASM709754v1
GCF_016698705.1	representative genome	28095	Burkholderia gladioli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/698/705/GCF_016698705.1_ASM1669870v1
GCF_018243215.1	representative genome	28097	Ralstonia syzygii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/243/215/GCF_018243215.1_ASM1824321v1
GCF_004217385.1	representative genome	28101	Phyllobacterium myrsinacearum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/217/385/GCF_004217385.1_ASM421738v1
GCF_014189455.1	representative genome	28104	Mesorhizobium huakuii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/189/455/GCF_014189455.1_ASM1418945v1
GCF_002849875.1	representative genome	28108	Alteromonas macleodii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/875/GCF_002849875.1_ASM284987v1
GCF_002221505.1	representative genome	28109	Pseudoalteromonas nigrifaciens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/221/505/GCF_002221505.1_ASM222150v1
GCF_018135955.1	representative genome	28110	Francisella philomiragia	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/135/955/GCF_018135955.1_ASM1813595v1
GCF_016894205.1	representative genome	28111	Bacteroides eggerthii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/894/205/GCF_016894205.1_ASM1689420v1
GCF_002998535.1	representative genome	28113	Bacteroides heparinolyticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/998/535/GCF_002998535.1_ASM299853v1
GCF_018206105.1	representative genome	28114	Porphyromonas levii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/206/105/GCF_018206105.1_ASM1820610v1
GCF_001314995.1	representative genome	28116	Bacteroides ovatus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/995/GCF_001314995.1_ASM131499v1
GCF_002998435.1	representative genome	28119	Bacteroides zoogleoformans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/998/435/GCF_002998435.1_ASM299843v1
GCF_900142455.1	representative genome	28122	Fibrobacter intestinalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/142/455/GCF_900142455.1_IMG-taxon_2700988678_annotated_assembly
GCF_900454815.1	representative genome	28124	Porphyromonas endodontalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/454/815/GCF_900454815.1_52278_C01
GCF_900454855.1	representative genome	28126	Prevotella buccae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/454/855/GCF_900454855.1_57800_F01
GCF_020735565.1	representative genome	28127	Hoylesella buccalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/735/565/GCF_020735565.1_ASM2073556v1
GCF_018128205.1	representative genome	28129	Prevotella denticola	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/128/205/GCF_018128205.1_ASM1812820v1
GCF_900454955.1	representative genome	28130	Prevotella disiens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/454/955/GCF_900454955.1_53421_G01
GCF_018127825.1	representative genome	28133	Prevotella nigrescens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/127/825/GCF_018127825.1_ASM1812782v1
GCF_900637655.1	representative genome	28135	Prevotella oris	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/655/GCF_900637655.1_52295_B01
GCF_018127765.1	representative genome	28137	Prevotella veroralis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/127/765/GCF_018127765.1_ASM1812776v1
GCF_003516125.1	representative genome	28141	Cronobacter sakazakii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/516/125/GCF_003516125.1_ASM351612v3
GCF_008830365.1	representative genome	28151	Serratia proteamaculans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/830/365/GCF_008830365.1_ASM883036v1
GCF_900460525.1	representative genome	28152	Yersinia kristensenii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/525/GCF_900460525.1_28863_B01
GCF_014884965.1	representative genome	28156	Spirabiliibacterium mucosae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/884/965/GCF_014884965.1_ASM1488496v1
GCF_002795405.1	representative genome	28159	Caviibacterium pharyngocola	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/795/405/GCF_002795405.1_ASM279540v1
GCF_002795425.1	representative genome	28161	Conservatibacter flavescens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/795/425/GCF_002795425.1_ASM279542v1
GCF_024362845.1	representative genome	28169	Vibrio pelagius	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/362/845/GCF_024362845.1_ASM2436284v1
GCF_009763765.1	representative genome	28172	Vibrio metschnikovii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/763/765/GCF_009763765.1_ASM976376v1
GCF_000731785.2	representative genome	28176	Candidatus Photodesmus katoptron	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/785/GCF_000731785.2_ASM73178v2
GCF_001746755.1	representative genome	28181	Magnetovibrio blakemorei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/755/GCF_001746755.1_ASM174675v1
GCF_006874765.1	representative genome	28184	Leptospira weilii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/765/GCF_006874765.1_ASM687476v1
GCF_002302565.1	representative genome	28188	Capnocytophaga canimorsus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/302/565/GCF_002302565.1_ASM230256v1
GCF_002302475.1	representative genome	28189	Capnocytophaga cynodegmi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/302/475/GCF_002302475.1_ASM230247v1
GCF_011761635.1	representative genome	28195	Thermonema lapsum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/761/635/GCF_011761635.1_ASM1176163v1
GCF_018398275.1	representative genome	28210	Chelatococcus asaccharovorans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/398/275/GCF_018398275.1_ASM1839827v1
GCF_002374855.1	representative genome	28212	Sphingomonas adhaesiva	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/374/855/GCF_002374855.1_ASM237485v1
GCF_900143105.1	representative genome	28230	Carnobacterium alterfunditum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/143/105/GCF_900143105.1_IMG-taxon_2698536812_annotated_assembly
GCF_004768445.1	representative genome	28234	Geotoga petraea	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/768/445/GCF_004768445.1_ASM476844v1
GCF_004363305.1	representative genome	28254	Marinomonas communis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/363/305/GCF_004363305.1_ASM436330v1
GCF_005144735.1	representative genome	28258	Cobetia marina	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/144/735/GCF_005144735.1_ASM514473v1
GCF_900475915.1	representative genome	28264	Arcanobacterium haemolyticum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/915/GCF_900475915.1_48128_H02
GCF_003046475.1	representative genome	28320	Mycoplana dimorpha	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/046/475/GCF_003046475.1_ASM304647v1
GCF_001570605.1	representative genome	28444	Herbidospora cretacea	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/605/GCF_001570605.1_ASM157060v1
GCF_001722345.1	representative genome	28445	Mycobacterium intermedium	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/722/345/GCF_001722345.1_ASM172234v1
GCF_004006375.1	representative genome	28448	Komagataeibacter xylinus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/006/375/GCF_004006375.1_ASM400637v1
GCF_005221305.1	representative genome	28449	Neisseria subflava	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/305/GCF_005221305.1_ASM522130v1
GCF_000756125.1	representative genome	28450	Burkholderia pseudomallei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/125/GCF_000756125.1_ASM75612v1
GCF_001569395.1	representative genome	28452	Leptospira alstonii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/569/395/GCF_001569395.1_ASM156939v1
GCF_016725865.1	representative genome	28454	Sphingobacterium multivorum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/725/865/GCF_016725865.1_ASM1672586v1
GCF_013340845.1	representative genome	28885	Hydrogenovibrio marinus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/340/845/GCF_013340845.1_ASM1334084v1
GCF_016863135.1	representative genome	28887	Planobispora longispora	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/863/135/GCF_016863135.1_ASM1686313v1
GCF_014649515.1	representative genome	28893	Streptomyces pilosus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/649/515/GCF_014649515.1_ASM1464951v1
GCF_008704555.1	representative genome	28894	Streptomyces nitrosporeus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/555/GCF_008704555.1_ASM870455v1
GCF_002080395.1	representative genome	28898	Campylobacter helveticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/080/395/GCF_002080395.1_ASM208039v1
GCF_002803295.2	representative genome	28907	Caedibacter taeniospiralis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/803/295/GCF_002803295.2_ASM280329v2
GCF_006346395.1	representative genome	29299	Nocardioides plantarum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/346/395/GCF_006346395.1_ASM634639v1
GCF_014656035.1	representative genome	29306	Streptomyces griseoluteus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/656/035/GCF_014656035.1_ASM1465603v1
GCF_900417275.1	representative genome	29313	Mycobacterium shimoidei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/417/275/GCF_900417275.1_PRJEB26812
GCF_010729485.1	representative genome	29314	Mycolicibacter hiberniae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/485/GCF_010729485.1_ASM1072948v1
GCF_014208035.1	representative genome	29316	Schaalia hyovaginalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/208/035/GCF_014208035.1_ASM1420803v1
GCF_021919345.1	representative genome	29320	Paenarthrobacter nicotinovorans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/919/345/GCF_021919345.1_ASM2191934v1
GCF_001643235.1	representative genome	29332	Domibacillus aminovorans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/643/235/GCF_001643235.1_ASM164323v1
GCF_002074155.1	representative genome	29341	Clostridium argentinense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/074/155/GCF_002074155.1_ASM207415v1
GCF_900108045.1	representative genome	29344	Caloramator fervidus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/045/GCF_900108045.1_IMG-taxon_2599185232_annotated_assembly
GCF_020892115.1	representative genome	29347	[Clostridium] scindens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/892/115/GCF_020892115.1_ASM2089211v1
GCF_902373765.1	representative genome	29348	Thomasclavelia spiroformis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/373/765/GCF_902373765.1_MGYG-HGUT-01304
GCF_023653455.1	representative genome	29358	Paeniclostridium ghonii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/653/455/GCF_023653455.1_ASM2365345v1
GCF_013300945.1	representative genome	29361	[Clostridium] nexile	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/300/945/GCF_013300945.1_ASM1330094v1
GCF_900111595.1	representative genome	29364	[Clostridium] polysaccharolyticum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/595/GCF_900111595.1_IMG-taxon_2606217760_annotated_assembly
GCF_002006345.1	representative genome	29367	Clostridium puniceum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/006/345/GCF_002006345.1_ASM200634v1
GCF_019753795.1	representative genome	29369	Clostridium sardiniense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/753/795/GCF_019753795.1_ASM1975379v1
GCF_900461315.1	representative genome	29370	Lacrimispora sphenoides	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/461/315/GCF_900461315.1_49699_G01
GCF_000371465.1	representative genome	29372	Clostridium thermobutyricum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/371/465/GCF_000371465.1_Clos_coli_209318_V1
GCF_026723765.1	representative genome	29375	Lacrimispora xylanolytica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/723/765/GCF_026723765.1_ASM2672376v1
GCF_009428905.1	representative genome	29376	Desulfofundulus thermobenzoicus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/428/905/GCF_009428905.1_ASM942890v1
GCF_900457375.1	representative genome	29378	Staphylococcus arlettae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/457/375/GCF_900457375.1_41556_H01
GCF_016028295.1	representative genome	29379	Staphylococcus auricularis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/028/295/GCF_016028295.1_ASM1602829v1
GCF_003966625.1	representative genome	29380	Staphylococcus caprae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/966/625/GCF_003966625.1_ASM396662v1
GCF_900458255.1	representative genome	29382	Staphylococcus cohnii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/458/255/GCF_900458255.1_44343_D01
GCF_003019255.1	representative genome	29384	Staphylococcus kloosii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/255/GCF_003019255.1_ASM301925v1
GCF_007814115.1	representative genome	29385	Staphylococcus saprophyticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/814/115/GCF_007814115.1_ASM781411v1
GCF_012277075.1	representative genome	29389	Streptococcus alactolyticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/277/075/GCF_012277075.1_ASM1227707v1
GCF_009730315.1	representative genome	29391	Gemella morbillorum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/315/GCF_009730315.1_ASM973031v1
GCF_003263915.2	representative genome	29394	Dolosigranulum pigrum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/263/915/GCF_003263915.2_ASM326391v2
GCF_011761475.1	representative genome	29396	Saccharococcus thermophilus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/761/475/GCF_011761475.1_ASM1176147v1
GCF_016653355.1	representative genome	29408	Rhodoplanes elegans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/653/355/GCF_016653355.1_ASM1665335v1
GCF_003258865.1	representative genome	29409	Rhodoplanes roseus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/865/GCF_003258865.1_ASM325886v1
GCF_008693005.1	representative genome	29419	Helicobacter canis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/005/GCF_008693005.1_ASM869300v1
GCF_002028545.1	representative genome	29421	Nitrobacter vulgaris	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/028/545/GCF_002028545.1_ASM202854v1
GCF_001467025.1	representative genome	29422	Legionella brunensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/467/025/GCF_001467025.1_ASM146702v1
GCF_001467925.1	representative genome	29423	Legionella oakridgensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/467/925/GCF_001467925.1_ASM146792v1
GCF_014199985.1	representative genome	29427	Methylorubrum rhodesianum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/199/985/GCF_014199985.1_ASM1419998v1
GCF_014199935.1	representative genome	29428	Methylorubrum rhodinum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/199/935/GCF_014199935.1_ASM1419993v1
GCF_014845115.1	representative genome	29429	Methylorubrum zatmanii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/845/115/GCF_014845115.1_ASM1484511v1
GCF_003323815.1	representative genome	29430	Acinetobacter haemolyticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/323/815/GCF_003323815.1_ASM332381v1
GCF_904846425.1	representative genome	29432	Psychrobacter phenylpyruvicus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/846/425/GCF_904846425.1_ASM90484642v1
GCF_001636015.1	representative genome	29433	Moraxella ovis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/015/GCF_001636015.1_ASM163601v1
GCF_020917325.1	representative genome	29438	Pseudomonas savastanoi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/917/325/GCF_020917325.1_ASM2091732v1
GCF_004342585.1	representative genome	29443	Paucimonas lemoignei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/342/585/GCF_004342585.1_ASM434258v1
GCF_009931595.1	representative genome	29447	Xanthomonas albilineans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/931/595/GCF_009931595.1_ASM993159v1
GCF_002119845.1	representative genome	29449	Rhizobium etli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/845/GCF_002119845.1_ASM211984v1
GCF_014198775.1	representative genome	29450	Rhizobium leucaenae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/198/775/GCF_014198775.1_ASM1419877v1
GCF_900446125.1	representative genome	29460	Brucella neotomae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/446/125/GCF_900446125.1_57572_C01
GCF_900186885.1	representative genome	29466	Veillonella parvula	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/186/885/GCF_900186885.1_48903_D01
GCF_000740965.1	representative genome	29471	Pectobacterium atrosepticum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/965/GCF_000740965.1_ASM74096v1
GCF_000834455.1	representative genome	29485	Yersinia rohdei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/455/GCF_000834455.1_ASM83445v1
GCF_017498685.1	representative genome	29486	Yersinia ruckeri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/498/685/GCF_017498685.1_ASM1749868v1
GCF_020341435.1	representative genome	29489	Aeromonas enteropelogenes	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/341/435/GCF_020341435.1_ASM2034143v1
GCF_006364355.1	representative genome	29494	Vibrio furnissii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/364/355/GCF_006364355.1_ASM636435v1
GCF_012275065.1	representative genome	29495	Vibrio navarrensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/275/065/GCF_012275065.1_ASM1227506v1
GCF_022812045.1	representative genome	29497	Vibrio splendidus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/812/045/GCF_022812045.1_ASM2281204v1
GCF_004770275.1	representative genome	29508	Leptospira meyeri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/770/275/GCF_004770275.1_ASM477027v1
GCF_026571835.1	representative genome	29518	Borreliella afzelii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/571/835/GCF_026571835.1_ASM2657183v1
GCF_000825665.2	representative genome	29520	Borrelia crocidurae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/825/665/GCF_000825665.2_Borrelia_crocidurae_str._03-02
GCF_008016755.1	representative genome	29522	Brachyspira aalborgi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/016/755/GCF_008016755.1_ASM801675v1
GCF_900167105.1	representative genome	29524	Porphyromonas circumdentaria	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/105/GCF_900167105.1_IMG-taxon_2582581320_annotated_assembly
